Area,Q1-20,Q2-20,Q3-20,Q4-20,Q1-21,Q2-21,Q1-20%,Q2-20%,Q3-20%,Q4-20%,Q1-21%,Q2-21%
Minnesota,"383,114","348,492","378,201","385,150","394,078","407,395",1.8,1.8,1.8,1.8,1.8,1.8
Missouri,"337,330","306,989","333,606","339,544","347,151","359,034",1.6,1.6,1.6,1.6,1.6,1.6
Nebraska,"135,796","123,142","134,654","140,165","144,703","150,507",0.6,0.6,0.6,0.7,0.7,0.7
North Dakota,"56,612","49,892","55,396","57,517","61,701","64,978",0.3,0.3,0.3,0.3,0.3,0.3
South Dakota,"56,768","50,660","55,135","56,595","58,264","60,810",0.3,0.3,0.3,0.3,0.3,0.3
Southeast,"4,605,468","4,169,313","4,533,006","4,603,448","4,724,123","4,866,408",21.4,21.4,21.4,21.4,21.4,21.4
Alabama,"233,525","211,064","230,034","232,964","237,303","243,555",1.1,1.1,1.1,1.1,1.1,1.1
Arkansas,"134,411","121,146","132,589","134,857","139,173","143,438",0.6,0.6,0.6,0.6,0.6,0.6
Florida,"1,134,749","1,035,634","1,120,033","1,133,726","1,163,189","1,198,913",5.3,5.3,5.3,5.3,5.3,5.3
Georgia,"639,677","584,177","628,822","637,835","654,268","673,072",3,3,3,3,3,3
Kentucky,"217,788","196,393","216,096","219,882","226,056","234,311",1,1,1,1,1,1
Louisiana,"245,726","217,821","237,572","240,631","246,029","253,315",1.1,1.1,1.1,1.1,1.1,1.1
Mississippi,"117,322","104,761","115,625","117,676","119,916","123,781",0.5,0.5,0.5,0.5,0.5,0.5
North Carolina,"606,710","549,498","596,445","606,664","627,040","646,207",2.8,2.8,2.8,2.8,2.8,2.8
South Carolina,"250,492","227,489","249,008","252,537","258,333","266,079",1.2,1.2,1.2,1.2,1.2,1.2
Tennessee,"385,084","335,382","374,746","383,085","399,016","411,689",1.8,1.7,1.8,1.8,1.8,1.8
Virginia,"561,706","516,948","555,057","564,432","571,359","586,250",2.6,2.7,2.6,2.6,2.6,2.6
West Virginia,"78,278","69,001","76,981","79,159","82,442","85,799",0.4,0.4,0.4,0.4,0.4,0.4
Southwest,"2,523,717","2,244,734","2,462,098","2,512,793","2,579,401","2,664,315",11.7,11.5,11.6,11.7,11.7,11.7
Arizona,"383,723","348,826","378,536","383,791","388,599","400,156",1.8,1.8,1.8,1.8,1.8,1.8
New Mexico,"101,902","90,750","99,514","101,723","104,748","108,241",0.5,0.5,0.5,0.5,0.5,0.5
Oklahoma,"197,204","170,950","189,728","194,345","199,192","205,559",0.9,0.9,0.9,0.9,0.9,0.9
Texas,"1,840,888","1,634,208","1,794,321","1,832,934","1,886,862","1,950,359",8.6,8.4,8.5,8.5,8.6,8.6
Rocky Mountain,"777,664","699,672","758,527","771,339","795,128","821,210",3.6,3.6,3.6,3.6,3.6,3.6
Colorado,"395,290","357,257","385,197","392,594","404,125","416,937",1.8,1.8,1.8,1.8,1.8,1.8
Idaho,"86,823","77,221","85,042","86,200","89,143","92,300",0.4,0.4,0.4,0.4,0.4,0.4
Montana,"53,356","47,646","52,022","53,011","55,689","57,919",0.2,0.2,0.2,0.2,0.3,0.3
Utah,"203,614","184,856","199,793","201,985","206,417","212,855",0.9,0.9,0.9,0.9,0.9,0.9
Wyoming,"38,581","32,692","36,473","37,548","39,755","41,199",0.2,0.2,0.2,0.2,0.2,0.2
Far West,"4,286,125","3,884,661","4,211,487","4,253,194","4,397,549","4,546,878",20,19.9,19.9,19.8,20,20
Alaska,"53,066","45,332","49,716","51,166","52,374","54,020",0.2,0.2,0.2,0.2,0.2,0.2
California,"3,098,986","2,812,495","3,046,249","3,071,021","3,183,281","3,290,170",14.4,14.4,14.4,14.3,14.4,14.5
Hawaii,"86,009","77,168","83,544","84,816","86,640","89,661",0.4,0.4,0.4,0.4,0.4,0.4
Nevada,"181,627","154,770","172,207","175,171","180,311","187,394",0.8,0.8,0.8,0.8,0.8,0.8
Oregon,"250,990","227,091","247,176","249,851","256,358","264,113",1.2,1.2,1.2,1.2,1.2,1.2
Washington,"615,445","567,805","612,596","621,169","638,585","661,520",2.9,2.9,2.9,2.9,2.9,2
